symbol,company_name,as_of_date,layer,stage,rank,score,candidate_source_path,date_verified_documents,date_unverified_documents,rejected_future_documents,web_only_stage,merged_stage,web_only_score,merged_score,promotion_delta
000660,SK하이닉스,2024-10-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-10-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
103590,일진전기,2024-10-01,event_search,2,3,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
257720,실리콘투,2024-10-01,event_search,0,4,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-10-01,event_search,1,5,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2024-11-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-11-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2024-11-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-11-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2024-12-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-12-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2024-12-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-12-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2025-01-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2025-01-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
